Attachmentname,Slot,WeaponUnlock,Points
Buckshot,Ammunition,18.5KS-K,10
Flechette,Ammunition,18.5KS-K,30
Slugs,Ammunition,18.5KS-K,40
430MM Cut,Barrel,18.5KS-K,10
430MM Factory,Barrel,18.5KS-K,15
Flashlight,Left Accessory,18.5KS-K,10
4RND Fast Mag,Magazine,18.5KS-K,10
4RND Magazine,Magazine,18.5KS-K,5
8RND Fast Mag,Magazine,18.5KS-K,10
8RND Magazine,Magazine,18.5KS-K,5
CQB Suppressor,Muzzle,18.5KS-K,30
Double-Port Brake,Muzzle,18.5KS-K,10
Flash Hider,Muzzle,18.5KS-K,10
Lightened Suppressor,Muzzle,18.5KS-K,30
Canted Iron Sights,Optic Accessory,18.5KS-K,5
Canted Reflex,Optic Accessory,18.5KS-K,10
5 MW Red,Right Accessory,18.5KS-K,10
5 MW Green,Right Accessory,18.5KS-K,10
50 MW Green,Right Accessory,18.5KS-K,20
50 MW Blue,Right Accessory,18.5KS-K,20
120 MW Blue,Right Accessory,18.5KS-K,30
Iron Sights,Scope,18.5KS-K,5
MINI FLEX 1.00X,Scope,18.5KS-K,10
R-MR 1.00X,Scope,18.5KS-K,10
OSA-7 1.00x,Scope,18.5KS-K,10
CQ RDS 1.25X,Scope,18.5KS-K,10
RO-S 1.25X,Scope,18.5KS-K,10
2PRO 1.25X,Scope,18.5KS-K,10
ROX 1.50X,Scope,18.5KS-K,10
SU-123 1.50X,Scope,18.5KS-K,10
1P87 1.50X,Scope,18.5KS-K,10
A-P2 1.75X,Scope,18.5KS-K,10
RO-M 1.75x,Scope,18.5KS-K,10
3VZR 1.75X,Scope,18.5KS-K,10
CCO 2.00x,Scope,18.5KS-K,10
R4T 2.00X,Scope,18.5KS-K,10
BF-2M 2.50x,Scope,18.5KS-K,10
BAKER 3.00X,Scope,18.5KS-K,10
SDO 3.50X,Scope,18.5KS-K,10
PVQ-31 4.00x,Scope,18.5KS-K,10
LDS 4.50X,Scope,18.5KS-K,10
ST PRISIM 5.00X,Scope,18.5KS-K,10
SF-G2 5.00X,Scope,18.5KS-K,10
MARS-F LPVO,Scope,18.5KS-K,25
GRIM 1.50X,Scope,18.5KS-K,25
PAS-35 3.00X,Scope,18.5KS-K,25
6H64 Vertical,Underbarrel,18.5KS-K,25
Alloy Vertical,Underbarrel,18.5KS-K,20
Canted Stubby,Underbarrel,18.5KS-K,30
Classic Vertical,Underbarrel,18.5KS-K,35
Folding Stubby,Underbarrel,18.5KS-K,20
